Date,eCPM
1/1/2017,5.879973708
1/2/2017,5.259028209
1/3/2017,4.790150995
1/4/2017,4.701444495
1/5/2017,4.802823352
1/6/2017,4.524031495
1/7/2017,5.65187128
1/8/2017,5.56316478
1/9/2017,3.92843071
1/10/2017,3.776362425
1/11/2017,4.118516067
1/12/2017,4.397307924
1/13/2017,4.447997353
1/14/2017,5.360407066
1/15/2017,4.63808271
1/16/2017,4.942219281
1/17/2017,4.574720924
1/18/2017,4.473342067
1/19/2017,4.447997353
1/20/2017,4.28325671
1/21/2017,5.081615209
1/22/2017,5.157649352
1/23/2017,4.346618496
1/24/2017,4.143860782
1/25/2017,4.143860782
1/26/2017,4.131188424
1/27/2017,4.004464853
1/28/2017,4.992908709
1/29/2017,4.777478638
1/30/2017,4.080498996
1/31/2017,3.827051853
2/1/2017,4.067826639
2/2/2017,3.941103067
2/3/2017,4.131188424
2/4/2017,5.030925781
2/5/2017,4.815495709
2/6/2017,4.067826639
2/7/2017,3.966447782
2/8/2017,4.10584371
2/9/2017,4.790150995
2/10/2017,4.28325671
2/11/2017,4.954891638
2/12/2017,4.815495709
2/13/2017,4.63808271
2/14/2017,4.498686781
2/15/2017,4.942219281
2/16/2017,5.068942852
2/17/2017,4.815495709
2/18/2017,5.56316478
2/19/2017,5.47445828
2/20/2017,5.613854209
2/21/2017,4.473342067
2/22/2017,4.295929067
2/23/2017,4.562048567
2/24/2017,4.486014424
2/25/2017,5.360407066
2/26/2017,4.891529852
2/27/2017,4.295929067
2/28/2017,4.37196321
3/1/2017,4.042481924
3/2/2017,4.295929067
